,caseNumber,gender,age,activity
2106,1999.08.24,M,,Surfing
2107,1999.08.23,M,23,Fishing
2108,1999.08.21,M,17,Surfing
2109,1999.08.16,M,10,Lying prone in 2' of water
2110,1999.08.05.a,M,62,Body surfing
2111,1999.08.05,M,35,Spearfishing & holding catch
2112,1999.07.29,M,42,Surfing
2113,1999.07.26,M,43,Swimming with dolphins
2114,1999.07.21,M,43,Surfing
2115,1999.07.15,M,14,Boogie boarding
2116,1999.07.06,M,,
2117,1999.07.04,F,30,Wading in school of baitfish
2118,1999.07.03,M,29,Surfing
2119,1999.06.19,M,20,Adrift in a life jacket
2120,1999.06.17,M,21,Surfing
2121,1999.06.12,M,41,Swimming
2122,1999.06.09,M,5,Splashing / wading
2123,1999.05.29,M,22,Windsurfing
2124,1999.05.01,M,21,Surfing
2125,1999.04.22,F,41,Swimming
2126,1999.04.11,M,52,Swimming after being swept into sea by a large wave
2127,1999.04.01,M,14,Surfing
2128,1999.03.18.R,M,,Spearfishing & diving for paua
2129,1999.03.18.b,M,,Scientific research (Dr. Sonny Gruber's student)
2130,1999.03.18.a,F,29,"Swimming, towing a kayak"
2131,1999.03.14.b,M,,Spearfishing
2132,1999.03.14.a,M,28,Fishing
2133,1999.03.08,M,18,Body surfing or body boarding
2134,1999.03.05,F,29,Swimming near pod of whales
2135,1999.02.26.R,,,Cruising
2136,1999.02.23,M,35,Surfing
2137,1999.02.03,M,25,Surfing
2138,1999.01.29,M,47,Spearfishing
2139,1999.01.13,M,,Paddle Skiing
2140,1999.01.07,,,Inflatable boat
2141,1999.01.03.R,F,37,Fishing
2142,1999.01.03,,,Spearfishing
2143,1999.00.00.b,M,30,Spearfishing
2144,1999.00.00.a,M,,Body surfing
2145,1998.12.24,M,19,Surfing
2146,1998.12.22,F,21,Standing
2147,1998.12.20.R,M,18,Surfing
2148,1998.12.18,M,14,Splashing
2149,1998.12.15,F,21,Surfing
2150,1998.11.21,M,9,Swimming
2151,1998.11.14,M,14,Surfing
2152,1998.11.11,M,13,Walking
2153,1998.11.05,M,32,Surfing
2154,1998.11.02.b,M,52,Fishing for tuna
2155,1998.11.02.a,M,22,Surfing
2156,1998.10.24,F,17,Swimming
2157,1998.10.18,M,30,Surfing
2158,1998.10.10,M,,Surfing
2159,1998.10.04,M,17,Surfing
2160,1998.10.01.b,,,Diving
2161,1998.10.01.a,M,28,
2162,1998.09.27,M,6,Surfing
2163,1998.09.22,M,18,Surfing
2164,1998.09.16.R,M,,Fishing / washing bait off hands
2165,1998.09.14,M,28,Surfing
2166,1998.09.00,M,25,Spearfishing
2167,1998.08.30,M,26,Surfing
2168,1998.08.27,,,Fishing
2169,1998.08.26,M,16,Boogie boarding
2170,1998.08.23.R,M,,Spearfishing
2171,1998.08.15,M,28,Spearfishing
2172,1998.08.13,M,11,Body-boarding
2173,1998.08.12,M,,Moving a shark in a net 
2174,1998.08.01.b,M,19,Surfing (or body boarding)
2175,1998.08.01.a,M,24,Spearfishing
2176,1998.07.26,M,,Surfing
2177,1998.07.25,M,13,Surfing
2178,1998.07.06.b,M,47,Wading
2179,1998.07.11,M,16,Surfing
2180,1998.07.06.a,M,10,Surfing
2181,1998.06.28.a,M,26,Free diving for abalone
2182,1998.06.22,M,20,Body Boarding
2183,1998.06.08,M,18,Surfing
2184,1998.06.05,M,,Surfing
2185,1998.05.30,M,17,Surfing
2186,1998.05.29.b,M,15,Body boarding
2187,1998.05.29.a,M,16,Body boarding
